code,name,end_date,audit_result,audit_agency,audit_sign
SH600601,ST方科,20201231,带强调事项段的无保留意见,上会会计师事务所,"池溦,时英浩"
SH600275,*ST昌鱼,20201231,带强调事项段的无保留意见,中勤万信会计师事务所,"蹇小平,覃丽君"
SH600091,*ST明科,20201231,无法表示意见,大信会计师事务所,"郭颖涛,张晓霞"
SH600093,*ST易见,20201231,无法表示意见,天圆全会计师事务所,"魏强,栾翔"
SZ000005,ST星源,20201231,保留意见,中审众环会计师事务所,"胡兵,曾毅凯"
SH600265,*ST景谷,20201231,带强调事项段的无保留意见,信永中和会计师事务所,"魏勇,李秋霞"
SH600225,*ST松江,20201231,带强调事项段的无保留意见,中审众环会计师事务所,"黄秀娟,邵雯"
SH603863,ST松炀,20201231,带强调事项段的无保留意见,广东司农会计师事务所,"吴虹,周锋"
SZ002535,ST林重,20201231,保留意见,北京兴华会计师事务所,"尚英伟,陈敬波"
SZ002776,ST柏龙,20201231,保留意见,中兴财光华会计师事务所,"赵丽红,白新盈"
SZ002358,ST森源,20201231,保留意见,信永中和会计师事务所,"孙政军,赵利红"
SH600589,ST榕泰,20201231,保留意见,大华会计师事务所,"姜纯友,吴少华"
SZ002569,ST步森,20201231,带强调事项段的无保留意见,大华会计师事务所,"张瑞,刘炳晶"
SH600090,*ST济堂,20201231,无法表示意见,亚太(集团)会计师事务所,"吴长波,房晨"
SZ002700,ST浩源,20201231,保留意见,中勤万信会计师事务所,"陈丽敏,李志光"
SZ000523,*ST浪奇,20201231,保留意见,中审众环会计师事务所,"胡海林,卢茂桉"
SH600555,*ST海创,20201231,保留意见,普华永道中天会计师事务所,"杨旭东,房止戈"
SZ000616,ST海投,20201231,保留意见,大华会计师事务所,"刘璐,江峰"
SH600221,*ST海航,20201231,无法表示意见,普华永道中天会计师事务所,"杨旭东,陶碧森"
SH600078,*ST澄星,20201231,无法表示意见,苏亚金诚会计师事务所,"徐长俄,李佰鑫"
SH600226,ST瀚叶,20201231,保留意见,天健会计师事务所,"徐晓峰,许安平"
SH600599,ST熊猫,20201231,保留意见,利安达会计师事务所,"许长英,周砚群"
SZ002684,*ST猛狮,20201231,保留意见,中审亚太会计师事务所,"李艳生,陈春雷"
SH600146,*ST环球,20201231,保留意见,中兴财光华会计师事务所,"赵丽红,杜会冉"
SH600666,ST瑞德,20201231,带强调事项段的无保留意见,中审亚太会计师事务所,"刘凤美,吴枫"
SH600671,ST目药,20201231,带强调事项段的无保留意见,苏亚金诚会计师事务所,"于龙斌,王璐"
SZ002499,*ST科林,20201231,带强调事项段的无保留意见,天健会计师事务所,"陈丘刚,王俊垚"
SZ002770,*ST科迪,20201231,无法表示意见,亚太(集团)会计师事务所,"唐自强,张慢"
SH600393,ST粤泰,20201231,保留意见,中审众环会计师事务所,"吴杰,陈刚"
SZ002766,*ST索菱,20201231,保留意见,亚太(集团)会计师事务所,"周铁华,刘振国"
SZ000525,ST红太阳,20201231,保留意见,立信中联会计师事务所,"毕兴亮,张文兵"
SH600300,ST维维,20201231,带强调事项段的无保留意见,立信会计师事务所,"冯蕾,李莉"
SZ000502,*ST绿景,20201231,带强调事项段的无保留意见,立信会计师事务所,"王志勇,谢东阳"
SZ300367,ST网力,20201231,带强调事项段的无保留意见,北京中天华茂会计师事务所,"谢晓丽,杨明"
SZ300495,*ST美尚,20201231,无法表示意见,中兴华会计师事务所,"靳军,石稳"
SZ300269,ST联建,20201231,带强调事项段的无保留意见,大信会计师事务所,"刘连皂,吴朝辉"
SZ300202,*ST聚龙,20201231,无法表示意见,容诚会计师事务所,"吴宇,冯颖"
SZ300178,*ST腾邦,20201231,无法表示意见,亚太(集团)会计师事务所,"贾小鹤,张战晓"
SZ002619,*ST艾格,20201231,无法表示意见,中兴华会计师事务所,"任传红,李震"
SZ000820,*ST节能,20201231,带强调事项段的无保留意见,中审众环会计师事务所,"李建树,喻俊"
SZ000820,*ST节能,20210630,带强调事项段的无保留意见,中审众环会计师事务所,"李建树,喻俊"
SH603007,ST花王,20201231,保留意见,中汇会计师事务所,"韩坚,王陈燕"
SZ000752,*ST西发,20201231,带强调事项段的无保留意见,中兴财光华会计师事务所,"黄峰,王新英"
SH600291,*ST西水,20201231,无法表示意见,中审亚太会计师事务所,"冯建江,黄琼"
SH600139,ST西源,20201231,保留意见,中喜会计师事务所,"谢翠,张丽"
SH603555,ST贵人,20201231,带强调事项段的无保留意见,大信会计师事务所,"朱劲松,邱桂华"
SZ300044,*ST赛为,20201231,无法表示意见,中汇会计师事务所,"李勉,肖强光,吴小亚"
SZ002356,*ST赫美,20201231,保留意见,众华会计师事务所,"郝世明,付声文"
SH603557,ST起步,20201231,保留意见,天健会计师事务所,"陈中江,赵奎"
SZ002640,*ST跨境,20201231,无法表示意见,中喜会计师事务所,"齐俊娟,祁卫红"
SH600781,ST辅仁,20201231,保留意见,北京兴华会计师事务所,"卜晓丽,陈冲"
SZ002496,ST辉丰,20201231,保留意见,天健会计师事务所,"朱国刚,章智华"
SZ300312,*ST邦讯,20201231,无法表示意见,立信中联会计师事务所,"詹有义,郭振华"
SZ300064,*ST金刚,20201231,无法表示意见,亚太(集团)会计师事务所,"马凤菊,任航"
SZ002470,ST金正,20201231,保留意见,大信会计师事务所,"吴金锋,杨春强"
SH600385,*ST金泰,20201231,带强调事项段的无保留意见,和信会计师事务所,"赵波,马春明"
SZ000587,*ST金洲,20201231,保留意见,中兴财光华会计师事务所,"赵海宾,余利民"
SZ000669,ST金鸿,20201231,带强调事项段的无保留意见,立信中联会计师事务所,"高凯,周赫然"
SZ000981,*ST银亿,20201231,保留意见,天健会计师事务所,"卢娅萍,王润,卓雅心"
SZ000806,ST银河,20201231,保留意见,中兴财光华会计师事务所,"王飞,刘宇"
SZ000835,*ST长动,20201231,无法表示意见,中天运会计师事务所,"王传平,聂照枝"
SZ002323,*ST雅博,20201231,带强调事项段的无保留意见,中兴财光华会计师事务所,"彭国栋,伏立钲"
SZ002076,ST雪莱,20201231,带强调事项段的无保留意见,大华会计师事务所,"方建新,邓清平"
SZ000606,ST顺利,20201231,保留意见,大信会计师事务所,"江波,幺纪红"
SZ000971,ST高升,20201231,保留意见,亚太(集团)会计师事务所,"王季民,廖坤"
