code,name,date,close,action,strength,reason
SZ000776,广发证券,2021-10-27,21.08,BUY_CHECK; BUY_CHECK; SELL_EARLY; SELL_EARLY; SELL_MUST; BUY_CHECK; ,8.0,"macd historgram over 0 n days_3; close great than 1.2 sma200; cross down sma5; cross down sma21; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 21.08 ,sma60 20.323833333333333; macd dif less than 0; macd sig less than 0; macd dif great than sig; "
SZ000792,盐湖股份,2021-10-27,31.45,BUY_CHECK; SELL_CHECK; BUY_CHECK; SELL_MUST; BUY_CHECK; ,1.0,"macd historgram over 0 n days_5; sma21 under sma60; close great than 1.2 sma200; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 31.45 ,sma60 30.895666666666667; macd dif less than 0; macd sig less than 0; macd dif great than sig; "
SZ000821,京山轻机,2021-10-27,15.33,BUY_CHECK; SELL_CHECK; BUY_CHECK; BUY_CHECK; SELL_MUST; BUY_CHECK; ,1.0,"macd historgram over 0 n days_3; sma21 under sma60; close great than 1.05 sma60; close great than 1.2 sma200; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 15.33 ,sma60 14.365499999999999; macd dif less than 0; macd sig less than 0; macd dif great than sig; "
SZ000852,石化机械,2021-10-27,6.47,BUY_CHECK; BUY_CHECK; BUY_CHECK; SELL_MUST; SELL_CHECK; ,1.0,"macd dea_signal over 0 n days_42; close great than 1.05 sma60; close great than 1.2 sma200; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 6.47 ,sma60 5.991333333333333; macd dif less than 0; macd sig great than 0; macd dif less than sig; "
SZ000861,海印股份,2021-10-27,2.09,BUY_CHECK; SELL_MUST; SELL_CHECK; ,1.0,"ma55 near ma21; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 2.09 ,sma60 2.0853333333333333; macd dif less than 0; macd dif less than sig; "
SZ000875,吉电股份,2021-10-27,6.71,BUY_CHECK; BUY_CHECK; SELL_MUST; SELL_CHECK; ,1.0,"close great than 1.05 sma60; close great than 1.2 sma200; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 6.71 ,sma60 6.263333333333334; macd dif less than 0; macd sig less than 0; macd dif less than sig; "
SZ000883,湖北能源,2021-10-27,5.01,BUY_CHECK; BUY_EARLY; SELL_MUST; SELL_CHECK; ,3.4,"macd dea_signal over 0 n days_33; cross over sma5; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 5.01 ,sma60 4.791166666666666; macd dif less than 0; macd sig great than 0; macd dif less than sig; "
SZ000892,欢瑞世纪,2021-10-27,2.68,BUY_CHECK; SELL_CHECK; SELL_MUST; SELL_CHECK; SELL_CHECK; ,2.0,"macd dea_signal over 0 n days_31; close under sma60; SZ000892 2021-10-27,SELL_MUST, cross down sma60 and  macd dif cross down 0, price expected to continue drop. close 2.68 ,sma60 2.7895; macd dif cross down 0; macd dif less than 0; macd sig great than 0; macd dif less than sig; "
SZ000912,泸天化,2021-10-27,6.28,BUY_CHECK; BUY_CHECK; BUY_CHECK; SELL_EARLY; SELL_MUST; SELL_CHECK; ,3.0,"macd dea_signal over 0 n days_70; close great than 1.05 sma60; close great than 1.2 sma200; cross down sma5; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 6.28 ,sma60 5.876333333333333; macd dif less than 0; macd sig great than 0; macd dif less than sig; "
SZ000922,佳电股份,2021-10-27,9.78,BUY_CHECK; BUY_CHECK; SELL_MUST; BUY_CHECK; BUY_CHECK; BUY_CHECK; ,2.0,"macd historgram over 0 n days_1; close great than 1.05 sma60; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 9.78 ,sma60 8.909833333333333; macd dif cross over sig; macd cross over 0; macd dif less than 0; macd sig less than 0; macd dif great than sig; "
