code,name,end_date,n_cashflow_act,net_profit,n_cashflow_inv_act,n_cash_flows_fnc_act,im_net_cashflow_oper_act,accounts_receiv,acct_payable,notes_receiv,oth_receiv,money_cap,r_and_d,goodwill
SZ000509,*ST华塑,20211231,-141614920.85,-1641143.91,-96355473.26,107894815.72,-141614920.85,67486361.62,111554838.29,0.0,9506582.0,28895248.01,0.0,24014575.17
SZ002188,*ST巴士,20211231,68114967.63,148250096.67,196881123.14,-49833226.35,68114967.63,17155949.09,6821471.65,0.0,3720428.1,247993193.7,0.0,0.0
SZ002379,宏创控股,20211231,-52194831.84,-75150880.04,-1768254.15,181418992.83,-52194831.84,117529533.19,356744393.73,419991756.44,48014757.52,323088469.97,0.0,0.0
SZ002402,和而泰,20211231,166442283.75,620894368.15,-581044706.69,87816732.56,166442283.75,1313030033.83,1557338614.34,100376699.27,12559101.47,904932580.77,52300287.13,545416159.32
SZ002546,新联电子,20211231,28051390.98,220691996.84,150751175.4,-101663868.6,28051390.98,184134563.6,74994090.94,84714504.83,1687255.56,316256163.73,0.0,0.0
SZ002947,恒铭达,20211231,-44800538.43,29826101.09,-80986267.95,189508632.52,-44800538.43,591475038.38,357995385.25,9636446.16,9626611.03,385651378.06,0.0,74061739.5
SZ003038,鑫铂股份,20211231,-384632166.48,121007823.35,-338582507.66,814495222.31,-384632166.48,705051650.19,188416391.38,13812584.06,7104091.68,319661777.97,0.0,0.0
SZ300390,天华超净,20211231,180482013.62,1251042934.94,-772919399.82,770755557.75,180482013.62,483278703.05,314539237.19,9909025.52,143771521.34,1097840258.64,0.0,231782121.7
SZ300631,久吾高科,20211231,26452979.25,83223641.01,-56201365.93,-24105381.83,26452979.25,294294747.01,220291046.09,220000.0,16236205.26,86120642.42,0.0,0.0
SZ300753,爱朋医疗,20211231,18286463.85,53318407.96,-96733540.24,-35848447.0,18286463.85,120885703.54,25762903.63,1595362.15,6797834.19,274662850.56,0.0,69406058.55
SZ301046,能辉科技,20211231,21817283.13,103685849.98,25664619.74,255198900.68,21817283.13,258616319.74,229677283.64,2850000.0,938534.06,493832364.3,0.0,0.0
SH600423,柳化股份,20211231,6055847.43,28814887.69,3999653.72,0.0,6055847.43,283654.73,27471584.11,27463959.04,0.0,390465948.65,0.0,0.0
SH603897,长城科技,20211231,-359476984.96,341104603.35,430269656.47,-260199781.13,-359476984.96,1550215701.76,316857434.88,0.0,7063600.58,430690297.4,0.0,0.0
SH688192,迪哲医药-U,20211231,-492277560.57,-669875908.62,-1627300414.28,1981124258.79,-492277560.57,7550307.96,131879773.96,0.0,1474653.65,364238631.27,0.0,0.0
SH688598,金博股份,20211231,66805489.45,501095974.05,-637712732.77,715778111.61,66805489.45,419426038.79,163436060.71,0.0,323491.24,291881403.41,0.0,0.0
