code,name,date,close,action,strength,reason
SZ300985,致远新能,2022-04-18,30.8,BUY_CHECK; SELL_CHECK; SELL_CHECK; SELL_CHECK; ,0.0,ma55 near ma21; close under sma60; sma21 under sma60; macd dif less than 0; macd sig less than 0; macd dif less than sig; 
SZ300986,志特新材,2022-04-18,34.8,BUY_CHECK; SELL_CHECK; SELL_CHECK; BUY_CHECK; ,0.0,macd historgram over 0 n days_12; close under sma60; sma21 under sma60; macd dif less than 0; macd sig less than 0; macd dif great than sig; 
SZ300987,川网传媒,2022-04-18,24.44,BUY_CHECK; SELL_CHECK; SELL_CHECK; SELL_CHECK; ,0.0,ma55 near ma21; close under sma60; sma21 under sma60; macd dif less than 0; macd sig less than 0; macd dif less than sig; 
SZ300989,蕾奥规划,2022-04-18,37.67,SELL_CHECK; SELL_CHECK; SELL_CHECK; ,0.0,close under sma60; sma21 under sma60; macd dif less than 0; macd sig less than 0; macd dif less than sig; 
SZ300990,同飞股份,2022-04-18,71.08,SELL_CHECK; SELL_CHECK; BUY_EARLY; SELL_CHECK; ,3.0,close under sma60; sma21 under sma60; cross over sma5; macd dif less than 0; macd sig less than 0; macd dif less than sig; 
SZ300992,泰福泵业,2022-04-18,21.62,BUY_CHECK; SELL_CHECK; SELL_CHECK; ,0.0,ma55 near ma21; close under sma60; macd dif less than 0; macd sig less than 0; macd dif less than sig; 
SZ300993,玉马遮阳,2022-04-18,22.81,SELL_CHECK; SELL_CHECK; BUY_CHECK; BUY_CHECK; ,1.0,close under sma60; sma21 under sma60; macd dif cross over sig; macd dif less than 0; macd sig less than 0; macd dif great than sig; 
SZ300994,久祺股份,2022-04-18,24.73,SELL_CHECK; SELL_CHECK; SELL_CHECK; ,0.0,close under sma60; sma21 under sma60; macd dif less than 0; macd sig less than 0; macd dif less than sig; 
SZ300995,奇德新材,2022-04-18,21.25,SELL_CHECK; SELL_CHECK; SELL_CHECK; ,0.0,close under sma60; sma21 under sma60; macd dif less than 0; macd sig less than 0; macd dif less than sig; 
SZ300996,普联软件,2022-04-18,27.45,SELL_CHECK; SELL_CHECK; SELL_CHECK; ,0.0,close under sma60; sma21 under sma60; macd dif less than 0; macd sig less than 0; macd dif less than sig; 
SZ300997,欢乐家,2022-04-18,13.44,BUY_CHECK; SELL_CHECK; SELL_CHECK; BUY_CHECK; ,0.0,macd historgram over 0 n days_5; close under sma60; sma21 under sma60; macd dif less than 0; macd sig less than 0; macd dif great than sig; 
SZ300999,金龙鱼,2022-04-18,48.9,BUY_CHECK; SELL_CHECK; SELL_CHECK; SELL_EARLY; BUY_CHECK; ,0.0,macd historgram over 0 n days_3; close under sma60; sma21 under sma60; cross down sma21; macd dif less than 0; macd sig less than 0; macd dif great than sig; 
SZ301000,肇民科技,2022-04-18,55.12,SELL_CHECK; SELL_CHECK; BUY_EARLY; BUY_EARLY; SELL_CHECK; ,15.3,close under sma60; sma21 under sma60; cross over sma5; cross over sma21; macd dif less than 0; macd sig less than 0; macd dif less than sig; 
SZ301001,凯淳股份,2022-04-18,26.33,SELL_CHECK; SELL_CHECK; SELL_CHECK; ,0.0,close under sma60; sma21 under sma60; macd dif less than 0; macd sig less than 0; macd dif less than sig; 
SZ301002,崧盛股份,2022-04-18,33.45,SELL_CHECK; SELL_CHECK; SELL_CHECK; ,0.0,close under sma60; sma21 under sma60; macd dif less than 0; macd sig less than 0; macd dif less than sig; 
SZ301003,江苏博云,2022-04-18,42.16,SELL_CHECK; SELL_CHECK; SELL_CHECK; ,0.0,close under sma60; sma21 under sma60; macd dif less than 0; macd sig less than 0; macd dif less than sig; 
SZ301004,嘉益股份,2022-04-18,18.71,SELL_CHECK; SELL_CHECK; SELL_CHECK; ,0.0,close under sma60; sma21 under sma60; macd dif less than 0; macd sig less than 0; macd dif less than sig; 
SZ301006,迈拓股份,2022-04-18,20.41,SELL_CHECK; SELL_CHECK; BUY_EARLY; SELL_CHECK; ,2.0,close under sma60; sma21 under sma60; cross over sma5; macd dif less than 0; macd sig less than 0; macd dif less than sig; 
SZ301007,德迈仕,2022-04-18,16.9,BUY_CHECK; SELL_CHECK; SELL_CHECK; BUY_CHECK; BUY_CHECK; BUY_CHECK; ,1.0,macd historgram over 0 n days_1; close under sma60; sma21 under sma60; macd dif cross over sig; macd cross over 0; macd dif less than 0; macd sig less than 0; macd dif great than sig; 
SZ301008,宏昌科技,2022-04-18,34.53,SELL_CHECK; SELL_CHECK; BUY_EARLY; SELL_CHECK; ,1.4,close under sma60; sma21 under sma60; cross over sma5; macd dif less than 0; macd sig less than 0; macd dif less than sig; 
