code,name,level_0,eps,roe,fcff,ocf_to_profit,free_cashflow,grossprofit_margin,debt_to_assets,current_ratio,industry_name_L1_L2_L3
BJ833874,泰祥股份,1,0.06115107913669065,0.06115107913669065,0.447841726618705,0.18165467625899281,0.4694244604316547,0.01618705035971223,0.0035971223021582736,0.01079136690647482,0.08992805755395683
SH600151,航天机电,7,0.1079136690647482,0.09352517985611511,0.7877697841726619,0.9640287769784173,0.4694244604316547,0.07913669064748201,0.6726618705035972,0.20863309352517986,0.7697841726618705
SH600212,江泉实业,11,0.050359712230215826,0.02877697841726619,0.3920863309352518,0.18165467625899281,0.22661870503597123,0.1906474820143885,0.29136690647482016,0.7553956834532374,0.841726618705036
SH600306,ST商城,16,0.01079136690647482,0.06115107913669065,0.35251798561151076,0.18165467625899281,0.20863309352517986,0.8633093525179856,1.0,0.025179856115107913,0.9586330935251799
SH600749,西藏旅游,37,0.0539568345323741,0.0539568345323741,0.35611510791366907,0.18165467625899281,0.4694244604316547,0.7050359712230215,0.4352517985611511,0.6151079136690647,0.6025179856115108
SH600830,香溢融通,41,0.09712230215827339,0.07553956834532374,0.7410071942446043,0.007194244604316547,0.4694244604316547,0.9460431654676259,0.2446043165467626,0.7338129496402878,0.24100719424460432
SH600860,京城股份,42,0.046762589928057555,0.04316546762589928,0.447841726618705,0.18165467625899281,0.4694244604316547,0.10071942446043165,0.5143884892086331,0.28776978417266186,0.9136690647482014
SH600973,宝胜股份,47,0.014388489208633094,0.014388489208633094,0.7805755395683454,0.18165467625899281,0.8489208633093526,0.0539568345323741,0.9568345323741008,0.15467625899280577,0.8093525179856115
SH601588,北辰实业,53,0.07733812949640288,0.09712230215827339,0.9892086330935251,0.9928057553956835,0.4694244604316547,0.302158273381295,0.9532374100719424,0.44964028776978415,0.5683453237410072
SH603103,横店影视,60,0.07733812949640288,0.07913669064748201,0.7446043165467626,1.0,0.4694244604316547,0.2158273381294964,0.9280575539568345,0.35251798561151076,0.08992805755395683
SH603356,华菱精工,68,0.07733812949640288,0.07194244604316546,0.4676258992805755,0.18165467625899281,0.4694244604316547,0.06474820143884892,0.8237410071942446,0.46402877697841727,0.19424460431654678
SH603773,沃格光电,73,0.02877697841726619,0.046762589928057555,0.23381294964028776,0.18165467625899281,0.14388489208633093,0.34172661870503596,0.49640287769784175,0.26258992805755393,0.26618705035971224
SH688192,迪哲医药-U,102,0.0035971223021582736,0.007194244604316547,0.03237410071942446,0.18165467625899281,0.02158273381294964,0.1223021582733813,0.050359712230215826,0.9640287769784173,0.08992805755395683
SZ000068,华控赛格,131,0.03597122302158273,0.01079136690647482,0.7841726618705036,0.18165467625899281,0.8561151079136691,0.07553956834532374,0.9748201438848921,0.10071942446043165,0.7446043165467626
SZ000509,*ST华塑,135,0.05755395683453238,0.03597122302158273,0.3669064748201439,0.0035971223021582736,0.21223021582733814,0.2014388489208633,0.8776978417266187,0.19424460431654678,0.2446043165467626
SZ000712,锦龙股份,144,0.03237410071942446,0.039568345323741004,0.447841726618705,0.18165467625899281,0.4694244604316547,0.01618705035971223,0.9496402877697842,0.01079136690647482,0.8758992805755396
SZ000798,中水渔业,148,0.025179856115107913,0.02158273381294964,0.5215827338129496,0.18165467625899281,0.7050359712230215,0.0035971223021582736,0.6510791366906474,0.06115107913669065,0.08992805755395683
SZ002033,丽江股份,161,0.04316546762589928,0.050359712230215826,0.447841726618705,0.18165467625899281,0.4694244604316547,0.7877697841726619,0.017985611510791366,0.8884892086330936,0.6025179856115108
SZ002188,*ST巴士,170,0.4748201438848921,0.06115107913669065,0.6510791366906474,0.3597122302158273,0.7697841726618705,0.6007194244604317,0.9676258992805755,0.3597122302158273,0.5755395683453237
SZ002198,嘉应制药,172,0.06474820143884892,0.0683453237410072,0.5611510791366906,0.9892086330935251,0.4694244604316547,0.9424460431654677,0.1366906474820144,0.9064748201438849,0.21942446043165467
SZ002323,*ST雅博,183,0.017985611510791366,0.0035971223021582736,0.8453237410071942,0.18165467625899281,0.8992805755395683,0.6079136690647482,0.4784172661870504,0.6474820143884892,0.5503597122302158
SZ002324,普利特,184,0.08633093525179857,0.08273381294964029,0.27697841726618705,0.02158273381294964,0.16546762589928057,0.09712230215827339,0.6187050359712231,0.4676258992805755,0.39568345323741005
SZ002379,宏创控股,186,0.039568345323741004,0.03237410071942446,0.6223021582733813,0.18165467625899281,0.7482014388489209,0.03237410071942446,0.7877697841726619,0.20503597122302158,0.5233812949640287
SZ002458,益生股份,191,0.09172661870503597,0.08633093525179857,0.20503597122302158,0.9496402877697842,0.1223021582733813,0.18345323741007194,0.6115107913669064,0.03597122302158273,0.29136690647482016
SZ002480,新筑股份,193,0.02158273381294964,0.025179856115107913,0.4172661870503597,0.18165467625899281,0.4694244604316547,0.19424460431654678,0.8669064748201439,0.09352517985611511,0.9136690647482014
SZ002552,宝鼎科技,198,0.07733812949640288,0.08992805755395683,0.5755395683453237,0.9856115107913669,0.4694244604316547,0.1366906474820144,0.1079136690647482,0.8920863309352518,0.9136690647482014
SZ002865,钧达股份,210,0.007194244604316547,0.017985611510791366,0.447841726618705,0.18165467625899281,0.4694244604316547,0.11151079136690648,0.9388489208633094,0.050359712230215826,0.762589928057554
