code,name,p_total_ratio_sum
SZ300629,新劲刚,102.5
SZ000603,盛达资源,102.49
SZ002669,康达新材,102.33
SH600136,当代文体,102.08
SZ002882,金龙羽,101.86
SZ300345,华民股份,101.85
SH603100,川仪股份,101.62
SZ000671,阳光城,101.62
SH600052,浙江广厦,101.55
SH603768,常青股份,101.43
SZ300578,会畅通讯,101.42
SZ300134,大富科技,101.32
SZ000007,*ST全新,101.18
SH600466,蓝光发展,101.17
SH603665,康隆达,101.14
SZ002358,ST森源,101.1
SZ300232,洲明科技,100.92
SH601777,力帆科技,100.7
SH688357,建龙微纳,100.39
SZ300237,美晨生态,100.1
SH603278,大业股份,99.97
SZ300342,天银机电,99.83
SH600346,恒力石化,99.82
SZ002397,梦洁股份,99.78
SH603630,拉芳家化,99.59
SZ300584,海辰药业,99.49
SH603268,松发股份,99.47
SH601886,江河集团,99.39
SZ000545,金浦钛业,99.19
SH600567,山鹰国际,99.05
SZ002861,瀛通通讯,98.96
SH603869,新智认知,98.86
SH603825,华扬联众,98.72
SH603996,*ST中新,98.51
SZ002866,传艺科技,98.38
SZ002702,海欣食品,97.86
SH600882,妙可蓝多,97.72
SH600226,ST瀚叶,97.6
SH600280,中央商场,97.58
SZ002349,精华制药,97.54
SH600277,亿利洁能,97.19
SH603966,法兰泰克,97.09
SH603883,老百姓,96.99
SZ000961,中南建设,96.98
SH603028,赛福天,96.98
SZ300688,创业黑马,96.75
SH603099,长白山,96.61
SZ002633,申科股份,96.32
SZ002352,顺丰控股,96.29
SH600539,狮头股份,96.24
SZ300559,佳发教育,96.22
SZ000560,我爱我家,96.21
SZ300439,美康生物,96.17
SH601599,浙文影业,95.86
SZ002102,ST冠福,95.81
SZ002539,云图控股,95.78
SH600885,宏发股份,95.63
SH601500,通用股份,95.51
SH603309,维力医疗,95.45
SZ300490,华自科技,95.45
SZ002634,棒杰股份,95.24
SH603598,引力传媒,95.1
SZ002863,今飞凯达,95.02
SZ002356,*ST赫美,95.0
SH603200,上海洗霸,94.69
SH603822,嘉澳环保,94.66
SZ002677,浙江美大,94.62
