code,name,level_0,eps,roe,fcff,ocf_to_profit,free_cashflow,grossprofit_margin,debt_to_assets,current_ratio,industry_name_L1_L2_L3
BJ835368,连城数控,44,0.9850299401197605,0.9163815226689478,0.11484174508126604,0.0872540633019675,0.09217279726261762,0.6612489307100086,0.5556030795551754,0.5806244653550042,0.10340034217279727
SH600004,白云机场,77,0.10949529512403763,0.1193327630453379,0.05453378956372968,0.16670230966638153,0.05431993156544055,0.016253207869974338,0.2613344739093242,0.06266039349871685,0.6098160821214713
SH600008,首创环保,80,0.3967065868263473,0.3943541488451668,0.011548331907613344,0.8267750213857998,0.011334473909324209,0.5538922155688623,0.8434559452523525,0.0665098374679213,0.6963216424294268
SH600009,上海机场,81,0.05121899059024808,0.10564585115483319,0.022668947818648418,0.16670230966638153,0.02245508982035928,0.0029940119760479044,0.0558169375534645,0.7198460222412318,0.6098160821214713
SH600011,华能国际,83,0.33532934131736525,0.2957656116338751,0.006843455945252352,0.9409751924721984,0.006629597946963216,0.2634730538922156,0.874251497005988,0.031009409751924722,0.7284003421727973
SH600019,宝钢股份,89,0.6230752780153977,0.4298545765611634,0.03421727972626176,0.7720273738237811,0.034003421727972626,0.1283147989734816,0.5523952095808383,0.21514114627887082,0.9436484174508126
SH600020,中原高速,90,0.2088323353293413,0.1995295124037639,0.03635585970915312,0.9766894781864842,0.036142001710863986,0.6075705731394354,0.9240804106073567,0.034644995722840036,0.3166167664670659
SH600021,上海电力,91,0.43605645851154834,0.31629597946963217,0.00962360992301112,0.897775876817793,0.009409751924721984,0.4897348160821215,0.9138152266894782,0.029940119760479042,0.7284003421727973
SH600029,南方航空,98,0.042557741659538066,0.06907613344739093,0.00855431993156544,0.16670230966638153,0.008340461933276304,0.01454234388366125,0.9193755346449958,0.028656971770744225,0.6110992301112061
SH600032,浙江新能,101,0.3075278015397776,0.3075278015397776,0.020744225834046195,0.8293413173652695,0.020530367835757058,0.8798118049615056,0.855218135158255,0.07313943541488452,0.10340034217279727
SH600036,招商银行,104,0.9880239520958084,0.7506415739948674,0.000427715996578272,0.9159538066723696,0.000427715996578272,0.027480752780153977,0.9749786142001711,0.00588109495295124,0.9522027373823782
SH600038,中直股份,106,0.8669803250641575,0.5147562018819504,0.054106073567151414,0.04875962360992301,0.05389221556886228,0.1394354148845167,0.8468776732249786,0.35799828913601367,0.47946963216424293
SH600039,四川路桥,107,0.7267964071856288,0.789349871685201,0.0427715996578272,0.5044910179640718,0.042557741659538066,0.20765611633875106,0.9394781864841745,0.1941830624465355,0.10340034217279727
SH600048,保利发展,108,0.9639649272882805,0.8199315654405475,0.017750213857998288,0.2848588537211292,0.017536355859709155,0.611633875106929,0.9420444824636441,0.3956372968349016,0.5781650983746792
SH600061,国投资本,120,0.787852865697177,0.5594525235243798,0.013900769888793841,0.05517536355859709,0.013686911890504704,0.06308810949529513,0.9337040205303678,0.3408896492728828,0.29501710863986313
SH600064,南京高科,123,0.9144568006843456,0.7957656116338752,0.0237382378100941,0.0451240376390077,0.02352437981180496,0.7405902480752781,0.7467921300256629,0.19803250641573994,0.5666167664670658
SH600067,冠城大通,125,0.37574850299401197,0.28892215568862273,0.05367835757057314,0.2609067579127459,0.053464499572284004,0.5186056458511549,0.8122326775021386,0.5074850299401198,0.5781650983746792
SH600072,中船科技,128,0.35307955517536355,0.2760906757912746,0.05688622754491018,0.9287852865697177,0.05667236954662104,0.19140290846877672,0.7008126603934988,0.5594525235243798,0.48374679213002564
SH600076,康欣新材,131,0.10692899914456801,0.10735671514114628,0.06672369546621043,0.16670230966638153,0.0665098374679213,0.10158254918733961,0.5541060735671514,0.46300256629597947,0.49037639007698886
SH600078,*ST澄星,133,0.0040633019674935844,0.0014970059880239522,0.04298545765611634,0.16670230966638153,0.0427715996578272,0.1584687767322498,0.9929426860564585,0.020530367835757058,0.37221984602224123
SH600094,大名城,146,0.339606501283148,0.26325919589392643,0.024165953806672368,0.016253207869974338,0.023952095808383235,0.2696749358426005,0.8201454234388366,0.5483319076133447,0.5781650983746792
SH600095,湘财股份,147,0.28785286569717705,0.39456800684345594,0.04341317365269461,0.34302822925577414,0.043199315654405476,0.10949529512403763,0.8594952951240377,0.3398203592814371,0.8725406330196749
SH600100,同方股份,152,0.17322497861420016,0.1437125748502994,0.014970059880239521,0.023096663815226688,0.014756201881950384,0.3642001710863986,0.8671941830624466,0.23823781009409753,0.8677288280581694
SH600115,中国东航,166,0.04491017964071856,0.06180496150556031,0.024379811804961505,0.16670230966638153,0.024165953806672368,0.0051325919589392645,0.9461077844311377,0.015397775876817793,0.6110992301112061
SH600126,杭钢股份,176,0.4782934131736527,0.3753207869974337,0.07741659538066724,0.7512831479897348,0.0772027373823781,0.06993156544054747,0.28293413173652693,0.5981608212147135,0.9436484174508126
SH600129,太极集团,179,0.26956800684345594,0.201240376390077,0.07207014542343884,0.94803250641574,0.0718562874251497,0.748289136013687,0.9396920444824637,0.12147134302822926,0.24219418306244653
SH600145,*ST新亿,191,0.11526946107784432,0.054106073567151414,0.09366980325064157,0.16670230966638153,0.09366980325064157,0.8772455089820359,0.6360136869118905,0.7773738237810094,0.8854790419161677
SH600153,建发股份,198,0.9075064157399487,0.6995295124037639,0.010265183917878529,0.4632164242942686,0.010051325919589392,0.06394354148845167,0.938622754491018,0.4531650983746792,0.6893712574850299
SH600155,华创阳安,199,0.510158254918734,0.3045337895637297,0.046193327630453376,0.8413173652694611,0.04597946963216424,0.9901625320786998,0.8806672369546621,0.4832121471343028,0.8772455089820359
