code,name,end_date,n_cashflow_act,net_profit,n_cashflow_inv_act,n_cash_flows_fnc_act,im_net_cashflow_oper_act,accounts_receiv,acct_payable,notes_receiv,oth_receiv,money_cap,r_and_d,goodwill
SZ000004,国华网安,20201231,3973925.97,61990293.98,18654845.73,9675898.58,3973925.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000006,深振业A,20201231,-167505495.3,902890101.9,-525801905.98,-414116713.32,-167505495.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000010,美丽生态,20201231,-360797901.56,76354376.87,90010003.14,257568252.53,-360797901.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000016,深康佳A,20201231,178616528.21,540073462.44,-2452548790.06,2135013053.43,178616528.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000028,国药一致,20201231,24051674.67,211028322.66,801520037.57,-52538.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000032,深桑达A,20201231,-125268308.62,188976574.62,67885268.16,14318798.24,-125268308.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000036,华联控股,20201231,-539008527.17,772928133.65,-169864783.47,-657256754.51,-539008527.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000045,深纺织A,20201231,1930932.76,43497645.15,-319070964.44,329804241.12,1930932.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000059,华锦股份,20201231,0.0,491592151.88,10020000000.0,-500043.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000062,深圳华强,20201231,-480618231.52,719735327.79,-87445889.11,773936620.93,-480618231.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000065,北方国际,20201231,-1273680346.13,784143039.0,-796172958.1,4040297876.09,-1273680346.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000066,中国长城,20201231,167245199.31,974585489.85,-1697923704.06,2124899067.33,167245199.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000090,天健集团,20201231,0.0,237375168.3,14652345833.33,-32309.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000096,广聚能源,20201231,40975679.13,133060563.53,202282854.09,-8374000.06,40975679.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000151,中成股份,20201231,0.0,24995608.3,343167336.52,-31172801.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000159,国际实业,20201231,-46591951.63,84999150.97,117145410.0,-149721652.38,-46591951.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000166,申万宏源,20201231,-17746521735.23,7876337080.38,-11846742021.56,45300843444.18,-17746521735.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000407,胜利股份,20201231,13272113.35,101111314.56,2039655946.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000409,云鼎科技,20201231,-155301304.94,99408760.77,630777033.98,-532938660.94,-155301304.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000410,ST沈机,20201231,-908186649.08,-734178581.0,1074976.91,-411372637.61,-908186649.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000419,通程控股,20201231,68567275.51,206657398.93,87155361.98,67341690.28,68567275.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000421,南京公用,20201231,-1883294755.81,592012438.42,-169471017.7,2427175892.6,-1883294755.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000502,*ST绿景,20201231,-15228664.82,-18823018.93,1191390.02,0.0,-15228664.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000504,南华生物,20201231,-207220871.68,14635465.29,8286826.85,196580735.04,-207220871.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000505,京粮控股,20201231,960000.0,31742996.45,2552237354.3,-21219661.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000509,*ST华塑,20201231,-95345541.69,13146428.49,11958449.56,214621119.18,-95345541.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000514,渝开发,20201231,0.0,48083846.96,1621380000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000517,荣安地产,20201231,-10728252476.63,1777729908.56,856906629.64,11061274222.57,-10728252476.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000524,岭南控股,20201231,-427835843.72,-261718813.51,-30934515.68,-453712247.99,-427835843.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000530,冰山冷热,20201231,-13142427.45,22849809.33,169325385.63,-141130383.65,-13142427.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000533,顺钠股份,20201231,38337487.04,85491762.08,7713654.82,-80400468.53,38337487.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000534,万泽股份,20201231,3000000.0,12401850.2,268259372.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000537,广宇发展,20201231,-6384692667.24,2211605684.51,-376064405.34,9739178324.57,-6384692667.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000547,航天发展,20201231,194807989.27,873149697.82,41488787.87,195195704.41,194807989.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000548,湖南投资,20201231,-121325974.78,83621397.59,40039113.18,148930625.0,-121325974.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000563,陕国投A,20201231,-1155711678.11,685690774.63,760280811.95,1773142.38,-1155711678.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000576,甘化科工,20201231,-163912.48,690002484.28,522835410.7,-201659012.37,-163912.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000581,威孚高科,20201231,781811234.01,2822735930.56,571446971.51,-1226807701.26,781811234.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000584,哈工智能,20201231,953118.4,9316474.13,-443554874.93,505607744.93,953118.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000585,*ST东电,20201231,-76154097.18,62665049.16,22862719.26,-12674273.76,-76154097.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000586,汇源通信,20201231,797923.94,22779380.11,-10687583.69,-6198581.25,797923.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000587,*ST金洲,20201231,-762524490.46,-266045352.02,2127862096.02,-1459877199.17,-762524490.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000595,宝塔实业,20201231,-194183612.33,13446776.57,38676058.05,461335270.0,-194183612.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000610,西安旅游,20201231,2931651.88,13980910.71,296768580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000611,*ST天首,20201231,-43035854.12,-40364577.53,-365213962.41,514531666.67,-43035854.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000613,*ST东海A,20201231,0.0,551742.76,19791474.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000615,奥园美谷,20201231,-382582581.94,38170703.3,-607668544.42,821928013.79,-382582581.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000616,ST海投,20201231,-63830454.51,378622531.52,-417102866.98,-45017052.02,-63830454.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000617,中油资本,20201231,-33102107033.02,15117407051.96,18114815896.27,-17196289746.06,-33102107033.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000623,吉林敖东,20201231,390408759.72,1691413240.68,185206237.89,-283505469.5,390408759.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000626,远大控股,20201231,-340301495.45,54254366.1,-395739715.51,161914683.7,-340301495.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000632,三木集团,20201231,-1821105125.77,143350530.77,-99356101.73,1348922813.22,-1821105125.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000633,合金投资,20201231,-7538445.51,7169009.68,12007798.13,-2371561.43,-7538445.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000657,中钨高新,20201231,-171960898.66,296489886.02,-844366051.68,1186482106.88,-171960898.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000661,长春高新,20201231,1110989854.82,3307653574.91,-1177484450.62,321081673.55,1110989854.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000666,经纬纺机,20201231,0.0,394432704.0,3624331732.85,-78520687.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000668,荣丰控股,20201231,-94702431.73,-23285256.61,196253932.08,-265018550.56,-94702431.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000677,恒天海龙,20201231,0.0,5065258.54,40000000.0,-2626672.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000678,襄阳轴承,20201231,0.0,28415430.2,306412822.43,847992.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000679,大连友谊,20201231,-48234565.0,3960976.97,1443108992.3,-1272253457.7,-48234565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000685,中山公用,20201231,586445067.11,1349277796.84,-120897707.01,56520133.96,586445067.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000690,宝新能源,20201231,36099742.15,367408408.85,1339600000.0,-12.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000691,亚太实业,20201231,-72413717.18,31329285.36,-80930118.37,158746383.21,-72413717.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000695,滨海能源,20201231,-64263003.29,-25801755.19,-61017881.76,77184991.12,-64263003.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000698,沈阳化工,20201231,0.0,166005665.16,3916171580.77,34067.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000702,正虹科技,20201231,-112245331.07,33092299.52,-51304535.61,127806756.4,-112245331.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000708,中信特钢,20201231,0.0,424743179.51,14629774454.22,11533421.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000709,河钢股份,20201231,309000000.0,4586464544.63,88922413632.5,-4593053.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000718,苏宁环球,20201231,98384433.57,1012994210.6,-317151469.49,-766311897.33,98384433.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000722,湖南发展,20201231,-186187387.66,97203471.05,-218322171.23,-34316194.31,-186187387.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000732,泰禾集团,20201231,-2948831541.31,-5106527271.36,951862570.71,-7720400063.9,-2948831541.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000733,振华科技,20201231,-69239138.75,602498310.89,-169425436.71,-174678865.3,-69239138.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000735,罗牛山,20201231,-268175458.95,108111970.04,-1085346064.6,1322399787.61,-268175458.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000736,中交地产,20201231,-18740017674.34,896012578.79,-1538903963.52,22840019629.38,-18740017674.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000737,南风化工,20201231,0.0,32189623.49,465550000.0,-1941721.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000750,国海证券,20201231,-2854444270.21,809533723.07,6282691623.85,1323324512.89,-2854444270.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000751,锌业股份,20201231,0.0,89853467.52,1897580409.75,-442734.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000752,*ST西发,20201231,-49968631.36,44956230.96,-252697269.15,0.0,-49968631.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000753,漳州发展,20201231,276000.0,54056179.23,1934562335.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000756,新华制药,20201231,0.0,77329117.33,426569000.0,-12279523.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000758,中色股份,20201231,-320759047.51,140068687.11,112830079.46,-482759917.43,-320759047.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000761,本钢板材,20201231,0.0,720937498.95,21667514000.0,-29429117.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000777,中核科技,20201231,-15127502.66,104630026.73,-4289372.32,-105510488.8,-15127502.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000782,美达股份,20201231,-237268695.01,36560636.24,56818976.03,150056008.7,-237268695.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000783,长江证券,20201231,-4498998998.9,2086268448.06,-292650981.35,7730656994.71,-4498998998.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000788,北大医药,20201231,-68141309.55,39176358.85,-58088128.14,-74758906.22,-68141309.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000790,华神科技,20201231,13495800.83,37416257.21,-29936138.81,-5673605.64,13495800.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000792,盐湖股份,20201231,-452420252.75,2010117461.52,2069108691.78,-924545651.94,-452420252.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000798,中水渔业,20201231,0.0,11505504.04,315535000.0,-2123542.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000799,酒鬼酒,20201231,0.0,578.58,0.0,-578.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000800,一汽解放,20201231,-780466106.07,2640626353.41,-4465470100.86,1342241047.15,-780466106.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000803,北清环能,20201231,0.0,14239843.29,192500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000809,铁岭新城,20201231,0.0,74905318.99,1723980000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000810,创维数字,20201231,0.0,95346282.55,2668088892.27,-12340716.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000815,美利云,20201231,-174734936.31,49161832.25,-271320261.62,104543538.22,-174734936.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000822,山东海化,20201231,-496752356.7,-251737988.92,20806894.31,-80558273.34,-496752356.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000829,天音控股,20201231,0.0,148273333.99,4486054000.0,-13327887.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000831,五矿稀土,20201231,-109319300.04,286283603.66,52595268.57,225769940.43,-109319300.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000833,粤桂股份,20201231,0.0,72089641.29,888443200.0,-138719.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000851,高鸿股份,20201231,-208320666.4,-139864256.22,260145730.2,417304381.1,-208320666.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000852,石化机械,20201231,0.0,133276464.38,3955000000.0,-2833716.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000886,海南高速,20201231,-157067510.43,92693943.45,429279394.09,-48790057.24,-157067510.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000900,现代投资,20201231,-337925700.19,560817711.09,-1885876092.33,2760549093.83,-337925700.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000915,华特达因,20201231,0.0,276296.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000927,中国铁物,20201231,291234774.12,1026060787.29,5427493.61,209491725.74,291234774.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000930,中粮科技,20201231,-2910855638.13,628195940.09,-899029109.0,3754583318.86,-2910855638.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000933,神火股份,20201231,218273195.85,1732223735.98,27998549151.89,-6204723.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000948,南天信息,20201231,0.0,17958788.83,502731765.46,-575081.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000952,广济药业,20201231,0.0,35764648.44,455362988.0,-3811499.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000955,欣龙控股,20201231,0.0,19735862.35,341983328.98,-1947449.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000957,中通客车,20201231,0.0,131161141.5,2180914308.41,-14418407.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000958,东方能源,20201231,1067150823.2,2728566153.46,-2736060868.42,1569448769.71,1067150823.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000960,锡业股份,20201231,41625708.28,711782831.75,19384827412.72,-40642031.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000962,东方钽业,20201231,-6893503.92,49334745.05,-1627911.83,-186553677.09,-6893503.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000965,天保基建,20201231,-1109287590.53,95347588.63,2530626.26,762478288.63,-1109287590.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000968,蓝焰控股,20201231,0.0,106987033.59,1861000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000971,ST高升,20201231,-69710329.68,98638532.43,-177949783.26,3755823.27,-69710329.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000976,华铁股份,20201231,0.0,63978747.36,1188323958.34,-958043.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000982,中银绒业,20201231,-42097210.38,33015544.31,-71680916.11,613179429.83,-42097210.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000987,越秀金控,20201231,-5206619175.05,5248897307.56,-19403283307.79,11929671944.47,-5206619175.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000990,诚志股份,20201231,0.0,296264249.11,4015760000.0,-3610587.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000995,皇台酒业,20201231,-990562.96,33482177.36,-2599150.1,-10814863.54,-990562.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000996,中国中期,20201231,-6502199.33,6082459.41,-4175918.76,2599758.75,-6502199.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ002005,ST德豪,20201231,-394570712.58,-602482999.28,-136377372.43,-12628225.25,-394570712.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ002017,东信和平,20201231,0.0,10366332.6,50000000.0,-3540915.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ002025,航天电器,20201231,67292444.97,508952277.99,-147545986.87,-25604366.67,67292444.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ002035,华帝股份,20201231,-102534475.99,415545393.59,127313790.37,-151253326.11,-102534475.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
