code,name,end_date,n_cashflow_act,net_profit,n_cashflow_inv_act,n_cash_flows_fnc_act,im_net_cashflow_oper_act,accounts_receiv,acct_payable,notes_receiv,oth_receiv,money_cap,r_and_d,goodwill
SZ000004,国华网安,20191231,-15870920.83,-3603992.92,114565095.97,0.0,-15870920.83,264268767.42,37989007.61,0.0,47138236.19,147843571.46,0.0,987403647.75
SZ000005,ST星源,20191231,12284797.44,178498643.45,225313423.44,-207338673.39,12284797.44,415882160.48,360158246.44,3070000.0,425368377.23,112250014.96,0.0,224903512.06
SZ000008,神州高铁,20191231,5319279.93,457416661.62,-692946455.88,861011532.64,5319279.93,3617388146.18,991376478.65,291030043.52,174561371.73,1301149592.6,10828120.54,3663030186.23
SZ000009,中国宝安,20191231,1337727570.11,711856499.09,-476199039.19,-198110045.44,1337727570.11,1932693377.68,2286499671.49,362507882.22,859949716.29,5492924494.61,24998573.95,464216904.26
SZ000010,美丽生态,20191231,30170445.41,126127504.58,-246449711.67,236743053.62,30170445.41,1534880420.94,1619273098.49,12096815.79,220556707.25,89192124.19,0.0,203019928.69
SZ000012,南玻A,20191231,2379036320.0,560419577.0,-733075474.0,-2040156870.0,2379036320.0,649681177.0,1100531779.0,297023380.0,202854864.0,1986980418.0,85240356.0,315097756.0
SZ000016,深康佳A,20191231,-1543947284.59,334936115.34,-3862609339.58,6465017072.08,-1543947284.59,4416179657.87,5797822479.6,2838041432.89,1763828117.47,6599360051.61,0.0,779260296.41
SZ000017,深中华A,20191231,-13791941.34,-7813881.65,-897577.01,4275000.0,-13791941.34,38616523.93,10191385.23,580000.0,740354.71,6074367.91,0.0,0.0
SZ000020,深华发A,20191231,74463707.01,5460049.15,-2908537.62,-63001241.67,74463707.01,138755691.43,108804905.2,0.0,6351361.16,38095501.0,0.0,0.0
SZ000021,深科技,20191231,-1000166846.65,441858514.36,-1124138073.76,1607846141.7,-1000166846.65,1833485110.65,2119630803.22,22925567.71,364119366.39,4804273763.15,0.0,10313565.41
SZ000023,深天地A,20191231,119963141.71,74568620.34,-49244774.44,-35742638.13,119963141.71,1015682126.85,656636164.67,117677748.46,50715817.66,547979678.57,0.0,0.0
