code,name,ann_date,M_8v,M_5v,DSRI,GMI,AQI,SGI,DEPI,SGAI,TATA,LVGI
SH603936,博敏电子,20191231,-0.9946585566475508,-0.5384322445461812,1.3508816759665685,3.2877615093975567,0.870448379673666,1.1330792759591968,1.004546529064667,1.0998436048396814,-0.0127799214637095,1.1080371049656974
SH600328,中盐化工,20191231,-0.99039463023338,-0.3963135960702585,0.5401565996940016,3.625466603597344,0.6110944925282381,2.0482112479972416,1.0141895386833348,0.851500278901649,-0.0592166465658398,1.004803475664046
SZ002759,天际股份,20191231,-0.9903424248585764,-0.7995727779295914,2.2390791578904863,2.424067010317081,1.0250899476286768,0.7108371625209318,1.0178670963359822,1.5154124071289867,-0.0043783932001161,1.1447186533486495
SH603661,恒林股份,20191231,-0.9850429391892768,-0.6895020018228236,1.0128459192663122,2.571696859715084,2.040726482815481,1.3100968423611024,0.58390851809949,1.458145065375029,0.0545076044394715,1.5265034213964226
SH688388,嘉元科技,20191231,-0.9818003566949564,-1.2069005918040858,0.4209376704887717,3.2121288708955467,0.6378071527294256,1.557421727507207,0.9961488613184424,0.7778661024829036,0.0409590970992314,0.13569753140201
SZ002028,思源电气,20191231,-0.9816878788193142,-0.5401128067979293,0.690281429298652,3.666921401127219,0.8864028029332537,1.3907409286721302,1.044454948324142,0.8706490211450513,0.0157883732377316,1.087961529447994
SH603519,立霸股份,20191231,-0.9782855807074716,-0.5636026777682226,0.6328615291586184,0.6709210945973795,5.766707931729541,1.1621637814518435,1.119332123480556,0.8444196544111648,0.0211156223727809,1.600757289536338
SZ002712,思美传媒,20191231,-0.974323976764851,-0.2871906873338149,2.234145017673619,3.12856718016641,0.9255691722666596,0.6027685716828246,1.1549393723300538,1.518583969171175,-0.0444728409201164,1.274475651818179
SH600687,*ST刚泰,20191231,-0.974164620882939,1.5657749087139707,1.585293190895861,6.104734987912128,0.8708918577441367,0.2330585032646692,1.0434289259369085,3.638342006480748,-0.0852045100671874,1.4409496156854344
SZ300478,杭州高新,20191231,-0.9653672802500372,-0.8832532856983453,1.0187817056899582,1.5195572972384266,3.668697565047558,0.9029540210656904,1.3421941125561034,0.9170222051748468,0.0642655921254122,1.3757942345724157
SZ002878,元隆雅图,20191231,-0.9587783707376982,-1.5347525179680688,0.6133357802846989,2.275837344995178,0.8100411786248887,1.8712969280508127,1.322328822009362,0.6892983327111818,0.102884180754887,1.2111513327208725
SZ002121,*ST科陆,20191231,-0.9582825149845072,1.142755772425784,0.9171011862392474,5.68882541160749,0.991860115800106,0.7416653474380926,1.672510004223577,1.4829523035684211,-0.1204487658713706,1.228389844376732
SH600066,宇通客车,20191231,-0.9521709935299276,-0.2273853653261756,0.6674994984418123,4.05494929920008,1.0875511388263055,1.2022461652334673,1.0051416503228474,0.884802765270549,-0.0067785989430017,0.9502940405333532
SZ000948,南天信息,20191231,-0.9502949706042222,-0.5216113321879223,0.8660971308965234,3.585857201169873,0.800505030109106,1.3835043091647392,1.0760003018552953,0.7905333961876111,0.0147742117400247,1.268573811885043
SZ300456,赛微电子,20191231,-0.9417630379057788,-0.720689967455025,0.7678776708612585,3.60085851120087,0.9923532772044844,1.1125704288822476,0.596172031657379,0.7239090026183562,0.0218076380172052,0.4552682233593806
SH600306,*ST商城,20191231,-0.9401205822664844,1.15881490301072,0.3631437176247041,6.056419393013059,1.0504916198547547,0.9821594765806304,1.0344091406876237,0.9661544594191956,-0.114098993068901,1.0746067434646438
SH600247,*ST成城,20191231,-0.9359321033843728,4.4374005046835645,2.137857392560617,8.716726700593583,1.0020882821237638,0.3505594540711285,0.0,2.7653255165324926,-0.5451448244901264,1.089806357278622
SH600526,菲达环保,20191231,-0.93459529383587,0.2039631868231897,0.994262213664905,4.536563323552866,1.052301376694868,0.8273206689220601,1.152853998513107,0.9517057117881432,-0.0489619145346621,0.9404091357812332
SH600383,金地集团,20191231,-0.9300199836278706,-1.7153238327142062,2.179553742473824,1.0186953718963545,1.0504636332916966,1.2693383251153156,0.9338777256269456,1.2058777323261092,0.0500551518705225,0.9905526024677472
SZ002211,宏达新材,20191231,-0.9290285016837264,-0.8252105522773303,2.6720244090139924,0.906428503462015,2.2381298215564103,1.0571921039739722,1.2548730115446702,1.3898250181845504,-0.0928399882673295,1.051887463471486
SZ002929,润建股份,20191231,-0.9270599650925264,-0.7897395203590755,1.1156204884965542,0.7575092008285095,4.742901552022467,1.1196010227347435,0.5187563365186709,0.7067128326329398,0.0089295869135485,1.2479997568763073
SZ002182,云海金属,20191231,-0.9128007995044024,-0.9735668630876442,1.073523246634312,2.9494837064392057,1.0006762967639664,1.1304898867964923,1.2311119073297148,0.9099223648450052,0.0526891267757638,0.8013560645148602
SH603659,璞泰来,20191231,-0.9113910595015374,-0.6798791578494909,1.0492262025262449,3.2014967219230823,1.0931569150571128,1.2287956843465673,0.8575989822779557,1.2595486083087648,0.0411984200498046,1.038347121917967
SZ000545,金浦钛业,20191231,-0.9060136274570936,-1.5553910916546485,1.7438806714667203,2.2009073964844577,0.911879773830522,0.7526196773107716,0.0,1.3807392839866186,0.1448867789682353,0.9560771048491874
SZ002310,东方园林,20191231,-0.90347264930239,-0.8330020525031535,2.104208355065084,2.588648723407228,1.0508182523564376,0.5107793180897414,1.5472404967628248,1.513857796414684,0.0365870225138135,1.0245760920362896
SZ002100,天康生物,20191231,-0.8864845370371682,-1.95389915488914,0.9995763234018672,1.714076435632328,1.0143437795191523,1.460043564290442,0.8143848917488816,1.1909645652802978,0.173879906167134,0.8736186456651298
