code,name,end_date,n_cashflow_act,net_profit,n_cashflow_inv_act,n_cash_flows_fnc_act,im_net_cashflow_oper_act,accounts_receiv,acct_payable,notes_receiv,oth_receiv,money_cap,r_and_d,goodwill
SZ300353,东土科技,20181231,-96734596.4,92675072.61,-104633107.02,213241703.43,-96734596.4,829998404.58,215171866.47,81875913.24,21242380.93,316989695.2,47641079.09,1192853534.21
SZ300355,蒙草生态,20181231,-1871835226.67,239881165.45,-747652740.16,1505607192.53,-1871835226.67,4110805489.71,3030590052.56,1184962.71,183332268.07,926706806.35,0.0,166588207.2
SZ300365,恒华科技,20181231,-34131693.69,272406870.31,-66154724.63,35164804.37,-34131693.69,948724422.87,182777757.64,316910550.55,28395504.03,707981150.3,0.0,17755310.54
SZ300367,ST网力,20181231,10235659.86,313522404.97,-586388690.83,596895816.98,10235659.86,2708152418.34,614805016.13,81811505.71,88196902.57,953248564.45,0.0,802653864.48
SZ300368,汇金股份,20181231,-42771779.43,35128852.98,-73587447.19,96680053.83,-42771779.43,235661166.58,128030557.73,3813472.0,56842333.62,232806590.46,0.0,331877366.01
SZ300374,中铁装配,20181231,-278613233.67,70748405.94,-455824960.96,29042021.67,-278613233.67,896316962.47,265107943.39,3310000.0,66419339.86,102235151.78,0.0,0.0
SZ300375,鹏翎股份,20181231,-21929247.98,127153242.06,-496979896.0,178261596.1,-21929247.98,503854933.09,250394885.67,138917097.01,18065914.5,318214698.67,0.0,445950468.87
SZ300377,赢时胜,20181231,-49044888.34,181361091.8,-480657430.2,114755234.23,-49044888.34,538306992.52,2031543.16,0.0,366151505.0,372220940.35,0.0,1504511.33
SZ300382,斯莱克,20181231,-59683623.55,130715279.05,-110538383.14,78361340.54,-59683623.55,361245114.43,140448953.33,4538362.0,26040762.37,115059151.31,0.0,21939747.98
SZ300386,飞天诚信,20181231,8154433.36,134047430.18,82927247.73,-20922548.11,8154433.36,97244483.23,82563306.9,1313190.0,8836478.76,662539376.26,1436702.44,102294256.35
SZ300388,节能国祯,20181231,-61039225.1,310743426.83,-750719192.33,313678423.4,-61039225.1,943333378.31,1849549625.85,25354972.71,234356150.87,771909270.67,0.0,246009507.65
SZ300393,中来股份,20181231,11047855.79,130565269.29,-219630351.78,-478646206.47,11047855.79,690512781.64,528173058.07,690485153.3,35136591.37,965761098.4,0.0,0.0
SZ300397,天和防务,20181231,-213660098.91,-169639377.62,31002910.04,24220861.14,-213660098.91,165633495.24,132581407.62,42921506.94,17947312.75,195912986.75,4007575.21,81067539.49
SZ300399,天利科技,20181231,-14541047.05,26322552.28,10774537.71,-4000000.0,-14541047.05,49602069.21,7093464.55,0.0,5197851.5,92366911.09,5102185.49,0.0
SZ300402,宝色股份,20181231,-7310122.63,14637685.63,-45711567.17,71131321.46,-7310122.63,405946535.58,246403642.08,19465015.85,10097312.87,66110006.47,0.0,0.0
SZ300407,凯发电气,20181231,-1114731.16,14915622.71,-247762788.25,267230387.19,-1114731.16,537163966.83,206092282.87,58381618.11,32237339.89,605770551.08,0.0,22195.8
SZ300412,迦南科技,20181231,-21616229.97,45822233.3,34574389.66,28270524.03,-21616229.97,255836119.57,104067907.14,37754753.06,12453067.25,276676873.62,0.0,100513141.0
SZ300413,芒果超媒,20181231,-376920617.58,927574396.79,1073825245.99,-120558207.15,-376920617.58,1340876919.84,3363276945.77,93200000.0,75922841.76,2526409541.4,0.0,0.0
SZ300414,中光防雷,20181231,22670527.99,52499604.71,-118751082.56,-12295488.08,22670527.99,204089480.63,77924082.9,19762380.72,7673413.98,222944701.92,0.0,46293476.14
SZ300420,五洋停车,20181231,-82205187.66,129282901.03,-54416528.14,39074032.21,-82205187.66,631391344.65,200682158.35,55610191.47,45796303.04,107746044.51,0.0,502121693.24
SZ300422,博世科,20181231,-39798716.07,231500394.89,-1096168248.28,1294350592.32,-39798716.07,1706696302.47,1168302114.69,6126196.16,108649394.88,732173032.08,0.0,36961826.03
SZ300423,昇辉科技,20181231,-483779118.95,450537673.45,-453001559.73,1373751928.31,-483779118.95,1455125254.97,1144021734.23,1483199841.27,9640395.58,839235946.96,0.0,1523285235.12
SZ300424,航新科技,20181231,-39756483.2,49589550.16,-445010878.9,557516338.8,-39756483.2,494217794.21,189099734.34,16139587.7,2592192.66,302527312.03,34437886.48,275910274.53
SZ300425,中建环能,20181231,-80513621.83,145543420.88,-191468791.33,244375723.79,-80513621.83,770900242.4,332717072.8,102977250.57,38355877.13,395491850.4,0.0,149882586.3
SZ300427,红相股份,20181231,37257450.1,260151743.81,-801769511.73,512979149.96,37257450.1,1098024109.76,387015837.14,62247203.2,36740659.71,311118247.11,9955166.05,1069680816.47
SZ300430,诚益通,20181231,14354706.28,103901639.99,-79861594.77,19041127.2,14354706.28,422664592.44,104912133.11,102369186.63,9901160.29,233812491.75,0.0,517029569.19
SZ300437,清水源,20181231,84705030.81,284396755.47,-412537724.21,324189118.19,84705030.81,875122380.16,489086274.09,50832850.31,134572283.62,289386379.25,0.0,591428622.54
SZ300438,鹏辉能源,20181231,127721158.91,272904442.12,-500769628.63,173695843.53,127721158.91,1551812046.11,1462673280.0,39425851.47,39740584.05,449904981.24,26109033.78,57373428.63
SZ300440,运达科技,20181231,-10970519.57,103766288.9,-5763898.57,-96625521.61,-10970519.57,653458110.63,195396543.0,68140486.4,40059708.58,174489837.39,2975856.39,61939277.86
SZ300443,金雷股份,20181231,-142156904.41,116343673.4,36887853.33,-5277277.26,-142156904.41,349404637.27,63299783.74,90900541.64,3772767.04,316156561.96,0.0,0.0
SZ300444,双杰电气,20181231,54313666.07,164364067.45,-98570271.79,93870407.81,54313666.07,1279017442.97,948685412.87,16540690.85,61976402.35,567192138.89,28169135.91,329682593.65
SZ300450,先导智能,20181231,-47969961.95,742441273.96,9909701.62,747732066.02,-47969961.95,709905660.01,1169070007.35,1732309047.45,27798001.79,1483412832.17,0.0,1092335348.25
SZ300455,康拓红外,20181231,25715635.3,75657274.47,-99325990.63,-31360000.0,25715635.3,330133645.3,49188335.1,4800000.0,5021270.21,157340833.81,0.0,0.0
SZ300456,赛微电子,20181231,28053207.82,94150660.31,-516800580.25,-112232033.33,28053207.82,421216431.33,134194102.14,31958420.0,6036868.98,533072927.85,0.0,641906653.5
SZ300457,赢合科技,20181231,78377034.97,330492066.08,-1159873788.53,1396284077.89,78377034.97,1273797473.28,701424581.4,230972607.24,23320377.86,765207588.31,0.0,298480210.97
