code,name,level_0,eps,roe,fcff,ocf_to_profit,free_cashflow,grossprofit_margin,debt_to_assets,current_ratio,industry_name_L1_L2_L3
SH600006,东风汽车,1,0.4733201581027668,0.5019762845849802,0.9387351778656127,0.8495553359683794,0.9384881422924901,0.19911067193675888,0.7801383399209486,0.3394268774703557,0.5351725941422594
SH600008,首创环保,3,0.4451581027667984,0.44664031620553357,0.009634387351778656,0.8125,0.009634387351778656,0.5733695652173914,0.8421442687747036,0.06126482213438735,0.611663179916318
SH600010,包钢股份,5,0.1530385375494071,0.16996047430830039,0.9607213438735178,0.9483695652173914,0.9607213438735178,0.10721343873517787,0.7475296442687747,0.06571146245059288,0.9376307531380753
SH600011,华能国际,6,0.37882905138339923,0.33572134387351776,0.006175889328063241,0.9355237154150198,0.006175889328063241,0.27519762845849804,0.875,0.02198616600790514,0.6507583682008368
SH600020,中原高速,11,0.23653656126482214,0.2267786561264822,0.07559288537549406,0.974802371541502,0.07559288537549406,0.6257411067193676,0.9281126482213439,0.026185770750988144,0.1392520920502092
SH600021,上海电力,12,0.48863636363636365,0.3589426877470356,0.008399209486166008,0.8903162055335968,0.008399209486166008,0.508893280632411,0.916501976284585,0.02050395256916996,0.6507583682008368
SH600022,山东钢铁,13,0.23826581027667984,0.30014822134387353,0.9696146245059288,0.8885869565217391,0.9696146245059288,0.06793478260869565,0.720108695652174,0.05175395256916996,0.9376307531380753
SH600025,华能水电,15,0.46936758893280633,0.5469367588932806,0.9866600790513834,0.8641304347826086,0.9866600790513834,0.8799407114624506,0.8011363636363636,0.00691699604743083,0.6446129707112971
SH600027,华电国际,17,0.5232213438735178,0.4483695652173913,0.9236660079051383,0.9182312252964426,0.9236660079051383,0.24654150197628458,0.7865612648221344,0.021245059288537548,0.6507583682008368
SH600028,中国石化,18,0.4720849802371542,0.35066699604743085,0.9985177865612648,0.9068675889328063,0.9985177865612648,0.3201581027667984,0.6319169960474308,0.11141304347826086,0.3716004184100418
SH600029,南方航空,19,0.046689723320158104,0.07682806324110672,0.019268774703557312,0.1755187747035573,0.019268774703557312,0.016057312252964428,0.9229249011857708,0.018774703557312252,0.5288964435146444
SH600030,中信证券,20,0.8722826086956522,0.5664525691699605,0.9987648221343873,0.946393280632411,0.9987648221343873,0.023715415019762844,0.9617094861660079,0.4105731225296443,0.8413964435146444
SH600031,三一重工,21,0.9510869565217391,0.9767786561264822,0.9871541501976284,0.4224308300395257,0.9871541501976284,0.570899209486166,0.7060276679841897,0.3900691699604743,0.03321129707112971
SH600035,楚天高速,23,0.39179841897233203,0.38512845849802374,0.9323122529644269,0.8747529644268774,0.9323122529644269,0.8060770750988142,0.70899209486166,0.019268774703557312,0.1392520920502092
SH600038,中直股份,25,0.8935276679841897,0.5773221343873518,0.04421936758893281,0.050642292490118576,0.04421936758893281,0.14155138339920947,0.8458498023715415,0.36783596837944665,0.35277196652719667
SH600039,四川路桥,26,0.7712450592885376,0.8475790513833992,0.6781126482213439,0.49703557312252966,0.6781126482213439,0.21541501976284586,0.9451581027667985,0.19540513833992096,0.4292625523012552
SH600048,保利发展,27,0.9718379446640316,0.8752470355731226,0.04224308300395257,0.30039525691699603,0.04224308300395257,0.6294466403162056,0.9478754940711462,0.4063735177865613,0.45907426778242677
SH600051,宁波联合,29,0.8593132411067194,0.7349308300395256,0.34288537549407117,0.2924901185770751,0.34288537549407117,0.4925889328063241,0.7045454545454546,0.3806818181818182,0.4734571129707113
SH600056,中国医药,33,0.8846343873517787,0.7892786561264822,0.932806324110672,0.4599802371541502,0.932806324110672,0.27297430830039526,0.8228754940711462,0.3835227272727273,0.3113232217573222
SH600057,厦门象屿,34,0.658102766798419,0.5886857707509882,0.8384387351778656,0.37648221343873517,0.8384387351778656,0.03409090909090909,0.8910573122529645,0.3406620553359684,0.6053870292887029
SH600058,五矿发展,35,0.29718379446640314,0.3300395256916996,0.48542490118577075,0.07608695652173914,0.48542490118577075,0.036561264822134384,0.8814229249011858,0.3102766798418972,0.8506799163179917
SH600061,国投资本,38,0.8260869565217391,0.6217885375494071,0.010622529644268774,0.057065217391304345,0.010622529644268774,0.05657114624505929,0.9389822134387352,0.3510375494071146,0.8413964435146444
SH600063,皖维高新,40,0.5145750988142292,0.6941699604743083,0.7727272727272727,0.770998023715415,0.7727272727272727,0.30014822134387353,0.6000494071146245,0.17959486166007904,0.2662133891213389
SH600064,南京高科,41,0.9342885375494071,0.85350790513834,0.0200098814229249,0.04693675889328063,0.0200098814229249,0.7534584980237155,0.741600790513834,0.1998517786561265,0.3389121338912134
SH600066,宇通客车,42,0.4125494071146245,0.2848320158102767,0.9681324110671937,0.9849308300395256,0.9681324110671937,0.27618577075098816,0.7015810276679841,0.4150197628458498,0.5338650627615062
SH600067,冠城大通,43,0.42218379446640314,0.32781620553359686,0.05311264822134387,0.27618577075098816,0.05311264822134387,0.5382905138339921,0.8100296442687747,0.5175395256916996,0.45907426778242677
SH600068,0,44,0.7497529644268774,0.5103754940711462,0.9525691699604744,0.45874505928853754,0.9525691699604744,0.28063241106719367,0.8893280632411067,0.19861660079051383,0.0
SH600071,凤凰光学,46,0.21751482213438736,0.2700098814229249,0.21788537549407114,0.9666501976284585,0.21788537549407114,0.19515810276679843,0.8428853754940712,0.1558794466403162,0.14631276150627615
SH600072,中船科技,47,0.39797430830039526,0.3134881422924901,0.051630434782608696,0.9226778656126482,0.051630434782608696,0.19787549407114624,0.6954051383399209,0.5662055335968379,0.3580020920502092
